Age,Gender,Living_Status,Credit_Amt>20000,Credit_overdue,Car_two_wheeler,Residence,Credit_default,Stable_Income,Employment_Tenure(Months),Monthly_Income,Alternative_Source,Loan_repayment,Loan_type,Loan_default,Loan_int_rate,Loan_Amt,Collateral_asset,Financial_Counselling,Financial_budgeting,Credit_rating_awareness,Bank_name,Bank_tenure,Loan_services_usage,Interaction_time,Interest_rate_satisfaction,Digital_lending,Digital_leding_frequency,Recommendation_likelihood,loan_processing_delays,Financial_advice,churn_possibility,Reasons_for_churn
37,Male,Single,No,No,Yes,Tier 2 City,No,Yes,16,66400,Yes,Yes,Debt Consolidation,No,4,1225500,No,Yes,I maintain a budget,Yes,Axis bank,More than 3 Years,1-3 Times,More than 1 Hour,Neutral,No,Rarely,5,No,Occasionally,No,Better loan terms and conditions elsewhere
37,Female,Single,No,No,No,Rural Area,Yes,Yes,18,67300,Yes,No,Medical ,No,6,1249500,No,Yes,I maintain a budget,Yes,Canara bank ,More than 3 Years,1-3 Times,More than 1 Hour,Neutral,No,Almost Never,4,No,Rarely,No,Better loan terms and conditions elsewhere
38,Male,"Conjugal (Married, Live-in, Co live)",No,Yes,No,Tier 1 City,Yes,Yes,21,44750,Yes,Yes,Debt Consolidation,Yes,15,1305500,No,No,I don't have a specific budget,Yes,SBI,More than 3 Years,1-3 Times,More than 1 Hour,Neutral,No,Very Frequently,5,No,Frequently,No,Better loan terms and conditions elsewhere
39,Male,Single,No,No,No,Tier 1 City,No,Yes,23,70600,Yes,No,Debt Consolidation,No,7,1337500,Yes,Yes,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,No,Almost Never,4,No,Rarely,No,Better loan terms and conditions elsewhere
39,Female,Single,No,No,No,Rural Area,No,Yes,10,71800,Yes,Yes,Home Loan,No,4,1369500,No,Yes,I don't have a specific budget,Yes,Federal Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,No,Rarely,5,No,Rarely,No,Better loan terms and conditions elsewhere
39,Female,"Conjugal (Married, Live-in, Co live)",Yes,No,Yes,Tier 1 City,No,Yes,12,73000,Yes,Yes,Home Loan,No,7,1401500,No,Yes,I maintain a budget,Yes,HDFC,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Occassionally,5,No,Rarely,No,Better loan terms and conditions elsewhere
39,Male,"Conjugal (Married, Live-in, Co live)",No,Yes,Yes,Rural Area,Yes,Yes,13,45750,Yes,No,Debt Consolidation,Yes,15,1425500,No,No,I don't have a specific budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,No,Very Frequently,3,No,Frequently,No,Better loan terms and conditions elsewhere
40,Male,"Conjugal (Married, Live-in, Co live)",Yes,No,No,Rural Area,No,Yes,15,75100,Yes,No,Medical ,No,8,1457500,No,Yes,I don't have a specific budget,Yes,Federal Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,No,Rarely,5,No,Occasionally,No,Better loan terms and conditions elsewhere
40,Male,"Conjugal (Married, Live-in, Co live)",No,No,Yes,Tier 1 City,No,Yes,17,76000,Yes,Yes,Debt Consolidation,No,4,1481500,Yes,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,No,Frequently,4,No,Occasionally,No,Better loan terms and conditions elsewhere
40,Male,Single,No,No,No,Tier 1 City,No,Yes,19,77200,Yes,Yes,Ventures,No,6,1513500,No,Yes,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,No,Almost Never,5,No,Occasionally,No,Better loan terms and conditions elsewhere
